video_id,event_id,label_parts
0,0,"['forehand', 'control']"
0,1,"['backhand', 'drive']"
0,2,"['forehand', 'long-push']"
0,3,"['backhand', 'drive']"
0,4,"['forehand', 'serve']"
0,5,"['forehand', 'step-around-drive']"
0,6,"['forehand', 'drive']"
0,7,"['backhand', 'drive']"
0,8,"['forehand', 'step-around-drive']"
0,9,"['forehand', 'serve']"
0,10,"['forehand', 'step-around-drive']"
0,11,"['forehand', 'step-around-drive']"
0,12,"['backhand', 'drive']"
0,13,"['forehand', 'serve']"
0,14,"['forehand', 'drive']"
0,15,"['backhand', 'drive']"
0,16,"['forehand', 'drive']"
0,17,"['backhand', 'drive']"
0,18,"['forehand', 'serve']"
0,19,"['forehand', 'step-around-drive']"
0,20,"['backhand', 'short-push']"
0,21,"['backhand', 'drive']"
0,22,"['backhand', 'drive']"
0,23,"['forehand', 'step-around-drive']"
0,24,"['forehand', 'step-around-drive']"
1,0,"['backhand', 'smash']"
1,1,"['backhand', 'drive']"
1,2,"['backhand', 'smash']"
1,3,"['forehand', '']"
1,4,"['forehand', 'serve']"
1,5,"['backhand', 'drive']"
1,6,"['forehand', 'serve']"
1,7,"['forehand', 'short-push']"
1,8,"['forehand', 'step-around-drive']"
1,9,"['forehand', 'step-around-drive']"
1,10,"['forehand', 'short-push']"
1,11,"['forehand', 'long-push']"
1,12,"['forehand', 'drive']"
1,13,"['backhand', 'drive']"
1,14,"['forehand', 'short-push']"
1,15,"['forehand', 'step-around-drive']"
1,16,"['forehand', 'drive']"
1,17,"['forehand', 'step-around-drive']"
1,18,"['forehand', 'serve']"
1,19,"['backhand', 'drive']"
1,20,"['forehand', 'serve']"
1,21,"['forehand', 'short-push']"
1,22,"['forehand', 'long-push']"
1,23,"['forehand', 'step-around-drive']"
1,24,"['forehand', 'short-push']"
1,25,"['forehand', 'step-around-drive']"
1,26,"['forehand', 'step-around-drive']"
1,27,"['backhand', 'drive']"
1,28,"['forehand', 'control']"
1,29,"['backhand', 'drive']"
1,30,"['forehand', 'serve']"
1,31,"['backhand', 'drive']"
1,32,"['backhand', 'drive']"
2,0,"['backhand', 'smash']"
2,1,"['forehand', 'serve']"
2,2,"['forehand', 'serve']"
2,3,"['backhand', 'drive']"
2,4,"['forehand', 'step-around-drive']"
2,5,"['backhand', 'drive']"
2,6,"['forehand', 'step-around-drive']"
2,7,"['forehand', 'drive']"
2,8,"['forehand', 'serve']"
2,9,"['backhand', 'smash']"
2,10,"['forehand', 'drive']"
2,11,"['backhand', 'drive']"
2,12,"['forehand', 'serve']"
2,13,"['backhand', 'drive']"
2,14,"['backhand', 'smash']"
2,15,"['forehand', 'drive']"
2,16,"['forehand', 'drive']"
2,17,"['backhand', 'smash']"
2,18,"['forehand', 'serve']"
2,19,"['forehand', 'serve']"
2,20,"['forehand', 'drive']"
2,21,"['forehand', 'drive']"
2,22,"['backhand', 'drive']"
2,23,"['forehand', 'step-around-drive']"
3,0,"['forehand', 'serve']"
3,1,"['backhand', 'drive']"
3,2,"['forehand', 'serve']"
3,3,"['backhand', 'drive']"
3,4,"['forehand', 'step-around-drive']"
3,5,"['backhand', 'drive']"
3,6,"['forehand', 'drive']"
3,7,"['backhand', 'control']"
3,8,"['forehand', 'serve']"
3,9,"['forehand', 'serve']"
3,10,"['backhand', 'drive']"
3,11,"['forehand', 'drive']"
3,12,"['backhand', 'drive']"
3,13,"['forehand', 'serve']"
3,14,"['forehand', 'long-push']"
3,15,"['forehand', 'drive']"
3,16,"['backhand', 'drive']"
3,17,"['backhand', 'drive']"
3,18,"['forehand', 'serve']"
3,19,"['backhand', 'long-push']"
3,20,"['forehand', 'drive']"
3,21,"['forehand', 'serve']"
3,22,"['backhand', 'control']"
3,23,"['backhand', 'smash']"
3,24,"['forehand', 'step-around-drive']"
3,25,"['forehand', 'drive']"
4,0,"['forehand', 'serve']"
4,1,"['forehand', 'long-push']"
4,2,"['backhand', 'drive']"
4,3,"['backhand', 'drive']"
4,4,"['forehand', 'serve']"
4,5,"['forehand', 'step-around-drive']"
4,6,"['backhand', 'drive']"
4,7,"['forehand', 'drive']"
4,8,"['forehand', 'long-push']"
4,9,"['backhand', 'drive']"
4,10,"['forehand', 'drive']"
4,11,"['backhand', 'drive']"
4,12,"['forehand', 'drive']"
4,13,"['backhand', 'drive']"
4,14,"['forehand', 'drive']"
4,15,"['backhand', 'short-push']"
4,16,"['forehand', 'drive']"
4,17,"['forehand', 'serve']"
4,18,"['forehand', 'serve']"
4,19,"['forehand', 'drive']"
4,20,"['backhand', 'drive']"
4,21,"['backhand', 'drive']"
4,22,"['forehand', 'short-push']"
4,23,"['forehand', 'drive']"
4,24,"['forehand', 'drive']"
4,25,"['forehand', 'serve']"
4,26,"['forehand', 'step-around-drive']"
4,27,"['forehand', 'serve']"
